name,project,url,address,latitude,longitude
Robin Greenfield,,https://www.robingreenfield.org/,"Ashland, Wisconsin",46.58896029,-90.91604834
Corentin de Chatelperron,Low-tech Lab,https://lowtechlab.org/en,"ZI du Moros, 1 Rue des Senneurs 29 900, 29900 Concarneau, France",47.88121415,-3.906936575
Lynx Vilden,,https://www.lynxvilden.com/,"Blikberget, Norway",61.11374745,11.61239893
Lasse Nordlund / Maria Dorf,School of Self-sufficiency,https://omavaraopisto.fi/english/,"Murtomäentie 1155, 75790 Nurmes, Finland",63.78865795,28.55870028
Kris De Decker,Low-tech Magazine,https://solar.lowtechmagazine.com/,"Barcelona, Spain",41.38683817,2.158361227
Alexis Zeigler,Living Energy Farm,https://livingenergyfarm.org/,"1022 Bibb Store Rd, Louisa, VA 23093",38.03972536,-77.98936452
Emma Orbach,Brithdir Mawr,https://brithdirmawr.co.uk/,"Brithdir Mawr, Cilgwyn Road, Pembrokeshire, Newport SA42 0QJ, United Kingdom",52.00933647,-4.808706132
Dave Hakkens,One Army / Project Kamp,https://projectkamp.com/,"Santa Comba Dão, Portugal",40.39541698,-8.129922354
Kirsten Dirksen,*faircompanies,https://faircompanies.com/,"San Francisco Bay Area, California",37.77520539,-122.4243821
Natalie Bogwalker,Wild Abundance,https://www.wildabundance.net/,"Asheville, North Carolina",35.5972858,-82.54592861
Tod Kershaw,Wild Roots,https://www.facebook.com/share/v/1CQ5jDGJL4/,"Asheville, North Carolina",35.5972858,-82.54592861
Aaron Fletcher,,https://123homefree.org/,"Ashland, Oregon",42.19710173,-122.70948
Daniel Schmactenberger,,,,,
Tom Murphy,,,,,
